site,treatment,cec,clay,n_sur,bc_sur,in_eq_bc,up_eq_bc,in_eq_n,up_eq_n,n_acc,bc_acc,alfa,alfa_sd,pval,ct1,n_in,n_up,bc_input,bc_up,eq,dph
27Qiyang,CK,292.498518628718,44,0.274075918574485,0.239622324778324,0.3304,0.0907776752216765,0.392228571428571,0.118152652854087,6.85189796436212,5.99055811945809,0.00305961538461536,0.00646369299115214,0.640422495870921,U,0.421428571428571,0.207092660947714,0.35,0.133756424555202,y = -0.4 0.0031 x year,-0.0118749999999999
27Qiyang,M,309.906282144318,44,1.91391500452148,3.16402048368497,3.75205442035954,0.588033936674571,2.80130798376623,0.887392979244752,42.1061300994726,69.6084506410693,0.0119785614105385,0.00918348981782655,0.206923222705261,U,3.01571428571428,0.84221264100822,3.801207346671,0.608500587546191,y = -17.4 0.012 x year,-0.156818181818182
27Qiyang,NPK,297.312338709297,44,1.89007051678306,0.951519153798687,1.28883442814292,0.337315274344232,2.53386904761905,0.643798530835985,45.3616924027935,22.8364596911685,-0.0441180434782605,0.00850578764440772,3.35516977442526e-05,U,2.54428571428571,1.22512765665875,1.30925109480959,0.65521574714147,y = 93 -0.0441 x year,0.467319444444444
27Qiyang,NPKM,309.557560615365,44,1.9354340690771,3.6543138286234,4.52743509112157,0.873121262498163,3.30426168104963,1.36882761197252,92.9008353157009,175.407063773923,-0.0120442391304348,0.00551587907417052,0.0341328410820522,U,2.85328571428571,1.06792201197448,3.72509623747928,0.734700793134724,y = 30.1 -0.012 x year,-0.0111458333333339
33Wuchang,CK,380.498821776772,55,-0.219386363360128,-0.227928722472719,0.336111111111111,0.56403983358383,0.543333333333333,0.762719696693462,-0.112247035108078,-0.18764409650809,0.014524193548387,0.00558645831065769,0.0193450147906815,U-P,0.564285714285714,0.676532749393792,0.35,0.53764409650809,y = -22 0.0145 x year,-0.198148148148149
33Wuchang,NPK,387.649845462042,55,0.397275578663294,0.21563849214657,1.08152379551054,0.865885303363974,1.6147619047619,1.21748632609861,7.15096041593929,3.88149285863827,0.021769023986766,0.00534137482419014,0.000880589343069654,U-P,1.63571428571429,1.0016164149478,1.05874601773277,0.724581145374738,y = -36.6 0.0218 x year,-0.33037037037037
33Wuchang,NPKM,397.213087249802,55,0.56277422606465,1.02239019264121,2.00186699591243,0.979476803271212,2.18038649553571,1.61761226947106,20.2598721383274,36.8060469350837,0.0212736765922248,0.00395905284328471,5.62225181585353e-06,U-P,2.01186607142857,1.34815684994732,1.74900341803418,0.903979767234958,y = -35.6 0.0213 x year,-0.0248148148148148
36Qiyang,CK,307.091609745111,44,0.106274834155196,-0.0704545104807792,0.309,0.379454510480779,0.693428571428572,0.587153737273375,1.14986791196575,-0.167472395370807,0.0303347684085512,0.0154671668209237,0.0854944956746821,P,0.707142857142857,0.673695221517565,0.3,0.467472395370807,y = -54.5 0.0303 x year,0.1145
36Qiyang,M,326.544162970673,44,1.14569264278062,1.9491535176337,2.66173329175051,0.712579774116809,2.2429555,1.09726285721938,18.33108228449,31.1864562821393,0.0454796616270696,0.00983479410548291,0.000393792015813779,P,2.2573305,1.19357159777995,2.67360829175051,0.822000371768635,y = -85.1 0.0455 x year,-0.915624999999999
36Qiyang,NPK,312.714398602698,44,0.640705900398928,0.501119404119756,1.22172329428428,0.720603890164523,1.72848214285714,1.08777624245821,10.2512944063829,8.01791046591609,0.0521103311735058,0.0093773760175969,7.06611453070719e-05,P,1.74285714285714,1.28168549054443,1.18672329428428,0.840746813555814,y = -98.3 0.0521 x year,-1.000625
36Qiyang,NPKM,327.140734007678,44,2.92528517506266,3.47637138084228,4.43205488031907,0.955683499476795,4.31438407142857,1.38909889636591,46.8045628010025,55.6219420934764,0.0507388408927284,0.00992590621633409,0.000158231771867892,P,4.32875907142857,1.26259314231996,4.39705488031907,0.887307488650004,y = -95.7 0.0507 x year,-1.048125
39Nanchang,CK,178.503449585614,23,-0.0101572142373608,-0.243915335078111,0.336,0.579915335078111,0.688,0.698157214237361,0.764928806643625,-0.208214311343903,-0.0393498309252993,0.011320759936916,0.00409921977906235,P,0.707142857142857,0.727666931336406,0.35,0.558214311343903,y = 84.7 -0.0393 x year,0.530476190476191
39Nanchang,NPK,186.292355837529,23,1.30175338491919,0.595571806291204,1.67203156182051,1.07645975552931,3.04014285714286,1.73838947222367,19.5263007737879,8.93357709436805,-0.0387270724459471,0.0107586954680176,0.00323429103000519,P,3.05928571428571,2.1865501184669,1.61136489515385,1.19937878796276,y = 83.1 -0.0387 x year,0.588571428571428
39Nanchang,NPKM,193.701328714423,23,1.29155983978794,4.56031236628483,5.69615643912135,1.13584407283651,3.0021112012987,1.71055136151076,56.8286329506695,200.653744116533,-0.0233886237976219,0.00606358012729028,0.000387957007766925,P,3.01457142857143,1.78485988571429,5.65914006217708,1.13455626897021,y = 52.7 -0.0234 x year,0.263030303030303
